CUS_ID,s_v_min,s_t_min,s_pr_min,s_prt_min,s_v_max,s_t_max,s_pr_max,s_prt_max,s_v_mean,s_t_mean,s_pr_mean,s_prt_mean,s_v_median,s_t_median,s_pr_median,s_prt_median,s_v_sd,s_t_sd,s_pr_sd,s_prt_sd
1980,1,0,1,0,25,3716,245,140.28571429,5.3306451613,577.10483871,27.556451613,17.947086042,4,247.5,15,13.829253366,4.1353557356,706.00667698,37.246989821,18.388031651
1981,1,0,1,0,46,9115,296,197,6.6270491803,527.30737705,27.540983607,19.307133138,4,117.5,9,12.546575342,7.5830277989,1047.7903144,43.7466796,25.05906117
1982,1,0,1,0,50,12186,324,199.66666667,7.6258278146,859.11258278,40.523178808,20.102660742,5,424,26,14.781040268,7.0749942284,1247.0423696,45.883332397,23.534160391
1983,1,0,1,0,97,13532,417,307,8.8484210526,678.66315789,27.414736842,19.986265624,5,147,12,11.666666667,11.052147806,1385.1193844,43.692329002,30.258532467
1984,1,0,1,0,71,8400,513,136.83333333,8.9900990099,1184.1633663,64.97029703,18.103800924,6,443.5,31,13.21024335,9.3622456054,1624.4655847,85.726622701,21.082201798
1985,1,1,1,0.5,135,16766,670,152.43636364,55.905172414,5401.9137931,235.00862069,21.512452847,56.5,5156.5,206.5,21.041354557,39.064267771,4496.6219312,186.31593064,16.26858515
1986,1,2,1,0.66666666667,103,16041,984,263,23.505025126,2937.1256281,138,22.151684931,21,2400.5,116.5,20.51868377,17.423419338,2665.2172362,119.73009108,16.940648003
1987,1,0,1,0,62,10162,455,329.5,10.884615385,1340.2447552,46.479020979,31.98813822,7,668,24,22.951234568,10.712378855,1821.3932193,65.557778832,33.920380727
1988,1,0,1,0,42,9892,252,226,13.331858407,1570.9336283,45.256637168,34.472115164,14,1180.5,39,31.617208223,8.5437724219,1558.9579825,39.500386217,24.894373901
1989,1,0,1,0,42,9816,428,299,12.360465116,2010.0988372,88.005813953,24.99642653,9,1286.5,55.5,20.40098479,9.9471266423,2043.375566,85.457112604,26.857885703
